Название;ID;Результат;Sprite;Источник наследования;Файл;Найденные модели
TRF1;fra_artillery_TRF1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_artillery_equipments_nto.txt;[]
LG1;fra_artillery_TRF2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_artillery_equipments_nto.txt;[]
Д-1;sov_artillery_d1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_artillery_equipments_sov.txt;[]
Д-74;sov_artillery_d74_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_artillery_equipments_sov.txt;[]
Д-20;sov_artillery_d20_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_artillery_equipments_sov.txt;[]
М-46;sov_artillery_m46_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_artillery_equipments_sov.txt;[]
Д-30;sov_artillery_d30_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_artillery_equipments_sov.txt;[]
2а36 Гиацинт;sov_artillery_2a36_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_artillery_equipments_sov.txt;[]
2а65 Мста-Б;sov_artillery_2a65_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_artillery_equipments_sov.txt;[]
2a88;rus_artillery_2a88_equipment;Модель из мода;sp_art;rus_artillery_2a88_equipment;common/units/equipment/ES_artillery_equipments_sov.txt;"[[""sp_art_entity"", ""mod"", ""gfx/models/units/tanks/2s3.mesh""]]"
2П22 «Богдана»;ukr_artillery_2p22_bohdana_equipment;Модель из мода;sp_art;ukr_artillery_2p22_bohdana_equipment;common/units/equipment/ES_artillery_equipments_ukr.txt;"[[""sp_art_entity"", ""mod"", ""gfx/models/units/tanks/2s3.mesh""]]"
"ПТРК \""Шершень\""";atgm_shershen_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_blr.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
M47 Dragon;usa_m47_dragon_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
BGM-71 TOW;usa_bgm71_tow_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
BGM-71 TOW ІІ;usa_bgm71_tow_ii_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
BGM-71F TOW-2В;usa_bgm71f_tow_2b_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
FGM-148 Javelin;usa_fgm148_javelin_atgm_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
Javelin F-Model;usa_javelin_f_model_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
eng_vickers_vigilant_equipment;eng_vickers_vigilant_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
Swingfire;eng_swingfire_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
NLAW ATGM;eng_nlaw_atgm_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
ENTAC;fra_entac_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
Milan;ger_fra_milan_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
HOT;ger_fra_hot_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
Milan 2;ger_fra_milan2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
Milan 3;ger_fra_milan3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
ERYX;ger_fra_eryx_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
AKERON MP;ger_fra_akeron_mp_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
MMP;ger_fra_mmp_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_atgm_equipments_nto.txt;[]
ПТРК Spike;pol_atgm_spike_equipment;Модель из мода;sp_art;pol_atgm_spike_equipment;common/units/equipment/ES_atgm_equipments_nto.txt;"[[""sp_art_entity"", ""mod"", ""gfx/models/units/tanks/2s3.mesh""]]"
ПТРК Jack s;pol_atgm_jacks_equipment;Модель из мода;sp_art;pol_atgm_spike_equipment;common/units/equipment/ES_atgm_equipments_nto.txt;"[[""sp_art_entity"", ""mod"", ""gfx/models/units/tanks/2s3.mesh""]]"
"ПТРК \""Малютка\""";atgm_9k11_malutka_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_sov.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
"ПТРК \""Фагот\""";atgm_9k111_fagot_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_sov.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
"9К111-1\""Конкурс\""";atgm_9k111_1_konkurs_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_sov.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
"9К115 \""Метис\""";atgm_9k115_metis_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_sov.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
"9К135 \""Корнет\""";atgm_9k135_kornet_equipment;Модель из мода;sp_art;atgm_9k135_kornet_equipment;common/units/equipment/ES_atgm_equipments_sov.txt;"[[""sp_art_entity"", ""mod"", ""gfx/models/units/tanks/2s3.mesh""]]"
ПТРК «Скиф»;infantry_atgm_skif_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_ukr.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
ПТРК «Стугна»;infantry_atgm_stugna_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_ukr.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
ПТРК «Барьер»;infantry_atgm_barier_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_ukr.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
ПТРК «Альта»;infantry_atgm_alta_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_ukr.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
ПТРК «Корсар»;infantry_atgm_korsar_equipment;Модель из мода;2s7pion;atgm_9k11_malutka_equipment;common/units/equipment/ES_atgm_equipments_ukr.txt;"[[""2s7pion_entity"", ""mod"", ""gfx/models/units/tanks/2s7pion_n_n.mesh""]]"
Шасси БРДМ-1;sov_brdm1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm1.txt;[]
ЛТ на базе БРДМ-1;light_tank_sov_brdm1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm1.txt;[]
ЗРК на базе БРДМ-1;sp_aa_sov_brdm1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm1.txt;[]
Мобильная установка с ПТУР на базе БРДМ-1;sp_atgm_sov_brdm1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm1.txt;[]
ИМР на базе БРДМ-1;arv_sov_brdm1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm1.txt;[]
Шасси БРДМ-2;sov_brdm2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm2.txt;[]
ЛТ на базе БРДМ-2;light_tank_sov_brdm2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm2.txt;[]
ЗРК на базе БРДМ-2;sp_aa_sov_brdm2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm2.txt;[]
Мобильная установка с ПТУР на базе БРДМ-2;sp_atgm_sov_brdm2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm2.txt;[]
ИМР на базе БРДМ-2;arv_sov_brdm2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_brdm_chassis_sov_brdm2.txt;[]
Шасси Warrior;ifv_eng_warrior_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_eng_warrior.txt;[]
ЛТ на базе Warrior;light_tank_ifv_eng_warrior_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_eng_warrior.txt;[]
ЗРК на базе Warrior;sp_aa_ifv_eng_warrior_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_eng_warrior.txt;[]
Мобильный ПТРК на базе Warrior;sp_atgm_ifv_eng_warrior_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_eng_warrior.txt;[]
ИМР на базе Warrior;arv_ifv_eng_warrior_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_eng_warrior.txt;[]
САУ на базе Warrior;sp_artillery_ifv_eng_warrior_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_eng_warrior.txt;[]
РСЗО на базе Warrior;sp_mlrs_ifv_eng_warrior_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_eng_warrior.txt;[]
Шасси AMX-10P;ifv_fra_amx10p_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_amx10p.txt;[]
ЛТ на базе AMX-10P;light_tank_ifv_fra_amx10p_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_amx10p.txt;[]
ЗРК на базе AMX-10P;sp_aa_ifv_fra_amx10p_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_amx10p.txt;[]
Мобильный ПТРК на базе AMX-10P;sp_atgm_ifv_fra_amx10p_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_amx10p.txt;[]
ИМР на базе AMX-10P;arv_ifv_fra_amx10p_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_amx10p.txt;[]
САУ на базе AMX-10P;sp_artillery_ifv_fra_amx10p_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_amx10p.txt;[]
РСЗО на базе AMX-10P;sp_mlrs_ifv_fra_amx10p_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_amx10p.txt;[]
Шасси VBCI;ifv_fra_vbci_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_vbci.txt;[]
ЛТ на базе VBCI;light_tank_ifv_fra_vbci_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_vbci.txt;[]
ЗРК на базе VBCI;sp_aa_ifv_fra_vbci_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_vbci.txt;[]
Мобильный ПТРК на базе VBCI;sp_atgm_ifv_fra_vbci_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_vbci.txt;[]
ИМР на базе VBCI;arv_ifv_fra_vbci_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_vbci.txt;[]
САУ на базе VBCI;sp_artillery_ifv_fra_vbci_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_vbci.txt;[]
РСЗО на базе VBCI;sp_mlrs_ifv_fra_vbci_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_fra_vbci.txt;[]
Шасси KF-41 Lynx;ifv_ger_kf41Lynx_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_kf41Lynx.txt;[]
light_tank_ifv_ger_kf41Lynx_equipment;light_tank_ifv_ger_kf41Lynx_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_kf41Lynx.txt;[]
sp_aa_ifv_ger_kf41Lynx_equipment;sp_aa_ifv_ger_kf41Lynx_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_kf41Lynx.txt;[]
sp_atgm_ifv_ger_kf41Lynx_equipment;sp_atgm_ifv_ger_kf41Lynx_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_kf41Lynx.txt;[]
arv_ifv_ger_kf41Lynx_equipment;arv_ifv_ger_kf41Lynx_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_kf41Lynx.txt;[]
sp_artillery_ifv_ger_kf41Lynx_equipment;sp_artillery_ifv_ger_kf41Lynx_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_kf41Lynx.txt;[]
sp_mlrs_ifv_ger_kf41Lynx_equipment;sp_mlrs_ifv_ger_kf41Lynx_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_kf41Lynx.txt;[]
Шасси Marder 1;ifv_ger_marder1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_marder1.txt;[]
ЛТ на базе Marder 1;light_tank_ifv_ger_marder1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_marder1.txt;[]
ЗРК на базе Marder 1;sp_aa_ifv_ger_marder1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_marder1.txt;[]
Мобильный ПТРК на базе Marder 1;sp_atgm_ifv_ger_marder1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_marder1.txt;[]
ИМР на базе Marder 1;arv_ifv_ger_marder1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_marder1.txt;[]
САУ на базе Marder 1;sp_artillery_ifv_ger_marder1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_marder1.txt;[]
РСЗО на базе Marder 1;sp_mlrs_ifv_ger_marder1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_marder1.txt;[]
Шасси Puma;ifv_ger_puma_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_puma.txt;[]
ЛТ на базе Puma;light_tank_ifv_ger_puma_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_puma.txt;[]
ЗРК на базе Puma;sp_aa_ifv_ger_puma_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_puma.txt;[]
Мобильный ПТРК на базе Puma;sp_atgm_ifv_ger_puma_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_puma.txt;[]
ИМР на базе Puma;arv_ifv_ger_puma_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_puma.txt;[]
САУ на базе Puma;sp_artillery_ifv_ger_puma_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_puma.txt;[]
РСЗО на базе Puma;sp_mlrs_ifv_ger_puma_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ger_puma.txt;[]
Шасси Dardo;ifv_ita_dardo_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ita_dardo.txt;[]
ЛТ на базе Dardo;light_tank_ifv_ita_dardo_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ita_dardo.txt;[]
ЗРК на базе Dardo;sp_aa_ifv_ita_dardo_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ita_dardo.txt;[]
Мобильный ПТРК на базе Dardo;sp_atgm_ifv_ita_dardo_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ita_dardo.txt;[]
ИМР на базе Dardo;arv_ifv_ita_dardo_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ita_dardo.txt;[]
САУ на базе Dardo;sp_artillery_ifv_ita_dardo_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ita_dardo.txt;[]
РСЗО на базе Dardo;sp_mlrs_ifv_ita_dardo_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_ita_dardo.txt;[]
Шасси Borsuk;ifv_pol_borsuk_equipment;Ссылка на отсутствующую entity;RUS_BMP_1_entity;ifv_sov_bmp1_equipment;common/units/equipment/ES_ifv_chassis_pol_borsuk.txt;[]
ЛТ на базе Borsuk;light_tank_ifv_pol_borsuk_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_pol_borsuk.txt;[]
ЗРК на базе Borsuk;sp_aa_ifv_pol_borsuk_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_pol_borsuk.txt;[]
Мобильная ПТРК на базе Borsuk;sp_atgm_ifv_pol_borsuk_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_pol_borsuk.txt;[]
ИМР на базе Borsuk;arv_ifv_pol_borsuk_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_pol_borsuk.txt;[]
САУ на базе Borsuk;sp_artillery_ifv_pol_borsuk_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_pol_borsuk.txt;[]
РСЗО на базе Borsuk;sp_mlrs_ifv_pol_borsuk_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_pol_borsuk.txt;[]
Шасси БМП-1;ifv_sov_bmp1_equipment;Ссылка на отсутствующую entity;RUS_BMP_1_entity;ifv_sov_bmp1_equipment;common/units/equipment/ES_ifv_chassis_sov_bmp1.txt;[]
ЛТ на базе БМП-1;light_tank_ifv_sov_bmp1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp1.txt;[]
ЗРК на базе БМП-1;sp_aa_ifv_sov_bmp1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp1.txt;[]
Мобильная установка с ПТУР на базе БМП-1;sp_atgm_ifv_sov_bmp1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp1.txt;[]
ИМР на базе БМП-1;arv_ifv_sov_bmp1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp1.txt;[]
САУ на базе БМП-1;sp_artillery_ifv_sov_bmp1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp1.txt;[]
РСЗО на базе БМП-1;sp_mlrs_ifv_sov_bmp1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp1.txt;[]
Шасси БМП-2;ifv_sov_bmp2_equipment;Ссылка на отсутствующую entity;RUS_BMP_1_entity;ifv_sov_bmp1_equipment;common/units/equipment/ES_ifv_chassis_sov_bmp2.txt;[]
ЛТ на базе БМП-2;light_tank_ifv_sov_bmp2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp2.txt;[]
ЗРК на базе БМП-2;sp_aa_ifv_sov_bmp2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp2.txt;[]
Мобильная установка с ПТУР на базе БМП-2;sp_atgm_ifv_sov_bmp2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp2.txt;[]
ИМР на базе БМП-2;arv_ifv_sov_bmp2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp2.txt;[]
САУ на базе БМП-2;sp_artillery_ifv_sov_bmp2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp2.txt;[]
РСЗО на базе БМП-2;sp_mlrs_ifv_sov_bmp2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp2.txt;[]
Шасси БМП-3;ifv_sov_bmp3_equipment;Ссылка на отсутствующую entity;RUS_BMP_1_entity;ifv_sov_bmp1_equipment;common/units/equipment/ES_ifv_chassis_sov_bmp3.txt;[]
ЛТ на базе БМП-3;light_tank_ifv_sov_bmp3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp3.txt;[]
ЗРК на базе БМП-3;sp_aa_ifv_sov_bmp3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp3.txt;[]
Мобильная установка с ПТУР на базе БМП-3;sp_atgm_ifv_sov_bmp3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp3.txt;[]
ИМР на базе БМП-3;arv_ifv_sov_bmp3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp3.txt;[]
САУ на базе БМП-3;sp_artillery_ifv_sov_bmp3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp3.txt;[]
РСЗО на базе БМП-3;sp_mlrs_ifv_sov_bmp3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_bmp3.txt;[]
Шасси Курганец-25;ifv_rus_kurganetz25_equipment;Ссылка на отсутствующую entity;RUS_BMP_1_entity;ifv_sov_bmp1_equipment;common/units/equipment/ES_ifv_chassis_sov_kurganetz25.txt;[]
ЛТ на базе Курганец-25;light_tank_ifv_rus_kurganetz25_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_kurganetz25.txt;[]
ЗРК на базе Курганец-25;sp_aa_ifv_rus_kurganetz25_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_kurganetz25.txt;[]
Мобильная установка с ПТУР на базе Курганец-25;sp_atgm_ifv_rus_kurganetz25_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_kurganetz25.txt;[]
ИМР на базе Курганец-25;arv_ifv_rus_kurganetz25_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_kurganetz25.txt;[]
САУ на базе Курганец-25;sp_artillery_ifv_rus_kurganetz25_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_kurganetz25.txt;[]
РСЗО на базе Курганец-25;sp_mlrs_ifv_rus_kurganetz25_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_sov_kurganetz25.txt;[]
Шасси CV90;ifv_swe_cv90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_swe_cv90.txt;[]
ЛТ на базе CV90;light_tank_ifv_swe_cv90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_swe_cv90.txt;[]
ЗРК на базе CV90;sp_aa_ifv_swe_cv90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_swe_cv90.txt;[]
Мобильный ПТРК на базе CV90;sp_atgm_ifv_swe_cv90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_swe_cv90.txt;[]
ИМР на базе CV90;arv_ifv_swe_cv90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_swe_cv90.txt;[]
САУ на базе CV90;sp_artillery_ifv_swe_cv90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_swe_cv90.txt;[]
РСЗО на базе CV90;sp_mlrs_ifv_swe_cv90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_ifv_chassis_swe_cv90.txt;[]
